corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a40,9.968,4.94856484,46.28475669,,POIN_REP0000002330655466,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,194,91152,91,D,PR valide,PR,01PR194DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,10.963,4.96094447,46.28219861,,POIN_REP0000002330655456,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,193,90152,90,D,PR valide,PR,01PR193DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,11.958,4.9736406,46.28045066,,POIN_REP0000002330655569,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,192,89152,89,D,PR valide,PR,01PR192DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,12.948,4.98617689,46.27847168,,POIN_REP0000002330655536,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,191,88152,88,D,PR valide,PR,01PR191DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,13.952,4.99863192,46.27578473,,POIN_REP0000002330655590,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,190,87152,87,D,PR valide,PR,01PR190DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,14.944,5.01093443,46.2731153,,POIN_REP0000002330655464,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,189,86152,86,D,PR valide,PR,01PR189DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,15.932,5.02345824,46.2711576,,POIN_REP0000002330655563,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,188,85152,85,D,PR valide,PR,01PR188DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,16.914,5.03617509,46.27039669,,POIN_REP0000002330655557,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,187,84152,84,D,PR valide,PR,01PR187DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,17.939,5.04949838,46.27043775,,POIN_REP0000002330655413,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,186,83152,83,D,PR valide,PR,01PR186DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,18.944,5.06253167,46.27098514,,POIN_REP0000002330655566,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,185,82152,82,D,PR valide,PR,01PR185DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
