corridor,route,pk,lat,lon,speed_kmh,source
a40,A40,29.04437,46.263720,5.191084,130,trace
a40,A40,29.09426,46.263821,5.191717,130,trace
a40,A40,29.14415,46.263922,5.192350,130,trace
a40,A40,29.19409,46.264003,5.192989,130,trace
a40,A40,29.24405,46.264079,5.193629,130,trace
a40,A40,29.29400,46.264155,5.194269,130,trace
a40,A40,29.34396,46.264232,5.194909,130,trace
a40,A40,29.39395,46.264292,5.195553,130,trace
a40,A40,29.44398,46.264335,5.196199,130,trace
a40,A40,29.49401,46.264378,5.196846,130,trace
a40,A40,29.54404,46.264421,5.197493,130,trace
a40,A40,29.59393,46.264437,5.198142,130,trace
a40,A40,29.64379,46.264450,5.198791,130,trace
a40,A40,29.69365,46.264463,5.199441,130,trace
a40,A40,29.74351,46.264476,5.200090,130,trace
a40,A40,29.79381,46.264475,5.200740,130,trace
a40,A40,29.84442,46.264464,5.201389,130,trace
a40,A40,29.89503,46.264454,5.202039,130,trace
a40,A40,29.94482,46.264429,5.202687,130,trace
a40,A40,29.99426,46.264399,5.203336,130,trace
a40,A40,30.04370,46.264368,5.203984,130,trace
a40,A40,30.09317,46.264335,5.204632,130,trace
a40,A40,30.14293,46.264280,5.205276,130,trace
a40,A40,30.19276,46.264217,5.205920,130,trace
a40,A40,30.24263,46.264148,5.206561,130,trace
a40,A40,30.29257,46.264068,5.207201,130,trace
a40,A40,30.34252,46.263979,5.207838,130,trace
a40,A40,30.39248,46.263883,5.208472,130,trace
a40,A40,30.44243,46.263780,5.209105,130,trace
a40,A40,30.49233,46.263664,5.209732,130,trace
a40,A40,30.54223,46.263546,5.210359,130,trace
a40,A40,30.59211,46.263427,5.210986,130,trace
a40,A40,30.64192,46.263298,5.211608,130,trace
a40,A40,30.69167,46.263163,5.212228,130,trace
a40,A40,30.74135,46.263023,5.212845,129,trace
a40,A40,30.79088,46.262871,5.213456,130,trace
a40,A40,30.84150,46.262713,5.214064,130,trace
a40,A40,30.89230,46.262549,5.214669,130,trace
a40,A40,30.94220,46.262376,5.215269,130,trace
a40,A40,30.99217,46.262195,5.215863,129,trace
a40,A40,31.04216,46.262008,5.216454,129,trace
a40,A40,31.09218,46.261814,5.217040,130,trace
a40,A40,31.14221,46.261613,5.217621,130,trace
a40,A40,31.19224,46.261409,5.218200,130,trace
a40,A40,31.24226,46.261201,5.218776,130,trace
a40,A40,31.29229,46.260994,5.219352,129,trace
a40,A40,31.34229,46.260779,5.219922,129,trace
a40,A40,31.39229,46.260563,5.220492,130,trace
a40,A40,31.44231,46.260357,5.221069,130,trace
a40,A40,31.49232,46.260144,5.221641,130,trace
a40,A40,31.54234,46.259931,5.222213,130,trace
a40,A40,31.59236,46.259723,5.222789,130,trace
a40,A40,31.64238,46.259514,5.223363,130,trace
a40,A40,31.69239,46.259301,5.223936,130,trace
a40,A40,31.74239,46.259085,5.224505,130,trace
a40,A40,31.79242,46.258880,5.225083,130,trace
a40,A40,31.84194,46.258680,5.225665,130,trace
a40,A40,31.89113,46.258483,5.226249,130,trace
a40,A40,31.94093,46.258293,5.226837,130,trace
a40,A40,31.99075,46.258104,5.227427,130,trace
a40,A40,32.04060,46.257919,5.228018,130,trace
a40,A40,32.09052,46.257741,5.228615,130,trace
a40,A40,32.14045,46.257565,5.229213,130,trace
a40,A40,32.19040,46.257393,5.229813,130,trace
a40,A40,32.24038,46.257226,5.230416,129,trace
a40,A40,32.29037,46.257063,5.231021,130,trace
a40,A40,32.34036,46.256904,5.231628,130,trace
a40,A40,32.39036,46.256749,5.232238,129,trace
a40,A40,32.44036,46.256598,5.232850,130,trace
a40,A40,32.49036,46.256451,5.233464,130,trace
a40,A40,32.54035,46.256307,5.234079,129,trace
a40,A40,32.59031,46.256169,5.234697,130,trace
a40,A40,32.64025,46.256036,5.235318,129,trace
a40,A40,32.69018,46.255907,5.235940,129,trace
a40,A40,32.74008,46.255781,5.236563,130,trace
a40,A40,32.78994,46.255659,5.237189,129,trace
a40,A40,32.83866,46.255543,5.237816,129,trace
a40,A40,32.88597,46.255432,5.238446,130,trace
a40,A40,32.93510,46.255323,5.239076,130,trace
a40,A40,32.98431,46.255219,5.239708,130,trace
a40,A40,33.03359,46.255118,5.240341,130,trace
a40,A40,33.08287,46.255016,5.240973,130,trace
a40,A40,33.13225,46.254921,5.241608,130,trace
a40,A40,33.18169,46.254829,5.242244,130,trace
a40,A40,33.23121,46.254741,5.242881,130,trace
a40,A40,33.28073,46.254654,5.243518,130,trace
a40,A40,33.33026,46.254567,5.244156,130,trace
a40,A40,33.37983,46.254483,5.244794,130,trace
a40,A40,33.42949,46.254405,5.245433,130,trace
a40,A40,33.47916,46.254328,5.246073,130,trace
a40,A40,33.52885,46.254252,5.246714,130,trace
a40,A40,33.57852,46.254176,5.247354,130,trace
a40,A40,33.62820,46.254099,5.247994,130,trace
a40,A40,33.67786,46.254022,5.248634,130,trace
a40,A40,33.72749,46.253941,5.249273,130,trace
a40,A40,33.77706,46.253857,5.249911,130,trace
a40,A40,33.82656,46.253769,5.250548,130,trace
a40,A40,33.87594,46.253673,5.251182,130,trace
a40,A40,33.98511,46.253558,5.251810,130,trace
a40,A40,34.07369,46.253430,5.252432,130,trace
a40,A40,34.12018,46.253287,5.253048,130,trace
a40,A40,34.16770,46.253118,5.253650,129,trace
a40,A40,34.21577,46.252934,5.254242,129,trace
a40,A40,34.26431,46.252735,5.254824,130,trace
a40,A40,34.31328,46.252521,5.255395,130,trace
a40,A40,34.36235,46.252303,5.255963,130,trace
a40,A40,34.41151,46.252080,5.256528,130,trace
a40,A40,34.46079,46.251853,5.257088,130,trace
a40,A40,34.51017,46.251621,5.257644,129,trace
a40,A40,34.55966,46.251382,5.258194,129,trace
a40,A40,34.60934,46.251133,5.258735,129,trace
a40,A40,34.65920,46.250869,5.259260,129,trace
a40,A40,34.70912,46.250598,5.259777,129,trace
a40,A40,34.75910,46.250318,5.260286,130,trace
a40,A40,34.80907,46.250019,5.260770,130,trace
a40,A40,34.85899,46.249713,5.261245,130,trace
a40,A40,34.90901,46.249399,5.261710,130,trace
a40,A40,34.95997,46.249072,5.262155,130,trace
a40,A40,35.01026,46.248739,5.262591,130,trace
a40,A40,35.06026,46.248403,5.263021,130,trace
a40,A40,35.11026,46.248063,5.263446,129,trace
a40,A40,35.16027,46.247720,5.263866,130,trace
a40,A40,35.21027,46.247376,5.264283,130,trace
a40,A40,35.26027,46.247029,5.264696,130,trace
a40,A40,35.31026,46.246679,5.265102,130,trace
a40,A40,35.36025,46.246330,5.265511,130,trace
a40,A40,35.41025,46.245984,5.265926,130,trace
a40,A40,35.46025,46.245640,5.266344,130,trace
a40,A40,35.51025,46.245296,5.266761,130,trace
a40,A40,35.56026,46.244952,5.267178,130,trace
a40,A40,35.61026,46.244607,5.267595,129,trace
a40,A40,35.66026,46.244260,5.268007,130,trace
a40,A40,35.71025,46.243912,5.268416,130,trace
a40,A40,35.76022,46.243560,5.268821,130,trace
a40,A40,35.81022,46.243212,5.269231,130,trace
